content,score,sentimen,content_clean
"Dapat promo diskon, mau dipakai tapi ga bisa trus hilang. Trus ngapain dikasih promo???",1,negatif,promo diskon dipakai ga trus hilang trus ngapain dikasih promo
"payah sekarang saldo refund sulit ditarik dulu bisa ditarik lewat gopay minimal 10rb sekarang harus lewat bank dan itu harus minimal 50rb sedangkan uang mengendap di saldo tokped 25 ribuan lha terus kalo gitu gimana cara kita mau ambil kalo belum memenuhi syarat tarik saldo? belum lagi permasalahannya kalo orang belum punya akun bank?. uang² kita dipersulit untuk mengambilnya kalo kasih saran untuk buat belanja aja jelas tidak mau lha lagi gak mau belanja malah disuruh belanja,balikin fiturnya😡",1,negatif,payah saldo refund sulit ditarik ditarik gopay minimal rb bank minimal rb uang mengendap saldo tokped ribuan lha kalo gitu gimana ambil kalo memenuhi syarat tarik saldo permasalahannya kalo orang akun bank uang² dipersulit mengambilnya kalo kasih saran belanja aja lha gak belanja disuruh belanjabalikin fiturnya
toko pedia terbaik,5,positif,toko pedia terbaik
"Tokopedia kenapa ya, aku kan beli parfum dari ncoparfume udh ku beli tapi dari kemarin masih nunggu kurir, sedangkan Tokopedia di tiktok cepat tolong ini gimana padahal estimasi tibanya 3 - 5 hari kalo kelewat 6 hari kecewa saya, kenapa saya kasih bintang 5 karena yang kasih bintang satu ga akan diladenin jadi saya kasi lah bintang 5 agar dilihat tapi saya beli itu parfumnya dari kabupaten tangerang sama kayak aku tolong cepatin kurirnya. dari akun Juli Rico",5,positif,tokopedia ya beli parfum ncoparfume udh ku beli kemarin nunggu kurir tokopedia tiktok cepat tolong gimana estimasi tibanya kalo kelewat kecewa kasih bintang kasih bintang ga diladenin kasi bintang beli parfumnya kabupaten tangerang kayak tolong cepatin kurirnya akun juli rico
saldo refund ga bisa ditarik. kacau,1,negatif,saldo refund ga ditarik kacau
"Ngasih promo tapi dipakai ga bisa trus hilang, ga ngerti gue maksudnya",1,negatif,ngasih promo dipakai ga trus hilang ga ngerti gue maksudnya
"MENAHAN DAN MENUNDA TARIK SALDO CUSTOMER DENGAN ALASAN VERIFIKASI IDENTITAS, SETELAH 3 HARI MENUNGGU YG SUDAH DITENTUKAN TOKOPEDIA, MEREKA MENYURUH FOTO ULANG DAN VERIFIKASI LAGI 3 HARI. YANG DIMINTA UANG SAYA SENDIRI, TAPI KNPA DIPERSULIT?",1,negatif,menahan menunda tarik saldo customer alasan verifikasi identitas menunggu yg ditentukan tokopedia menyuruh foto ulang verifikasi uang knpa dipersulit
aplikasi buatan anak bangsa. mantap untuk lebih di kembangkan,5,positif,aplikasi buatan anak bangsa mantap kembangkan
"Saldo Refund tidak bisa dipake untuk beli barang, mau di tarik gagal 2x, sebelumnya bisa pake gopay lancar aja, sekarang pilihan gopay gak ada, udah bikin tiket ke CS masih belum ada perbaikan, kacau",2,negatif,saldo refund dipake beli barang tarik gagal x pake gopay lancar aja pilihan gopay gak udah bikin tiket cs perbaikan kacau
saya senang belanja di tokped thanks tokped semoga makin maju,5,positif,senang belanja tokped thanks tokped semoga maju
semoga amanah,5,positif,semoga amanah
Kupon diskonnya ga motong di halaman checkout,1,negatif,kupon diskonnya ga motong halaman checkout
"Checkout ga bisa, malah diskonnya hilang aneh",1,negatif,checkout ga diskonnya hilang aneh
aman sip,5,positif,aman sip
baru daftar akunnya dapet voucher tapi voucher ny g bs dipake,2,negatif,daftar akunnya dapet voucher voucher ny g bs dipake
"hadeh di kasih promo tapi gabisa di pake, php",1,negatif,hadeh kasih promo gabisa pake php
pelayanan toko nya buruk sangat tidak bisa membantu tentang masalah paket.,1,negatif,pelayanan toko nya buruk membantu paket
Semoga barang²nya tidak mengecewakan,5,positif,semoga barang²nya mengecewakan
layanan cepat,5,positif,layanan cepat
ketika shopee sebar promo + bebas ongkir instan. eh ini tokped dan tiktokshop diem diem bae,1,negatif,shopee sebar promo bebas ongkir instan eh tokped tiktokshop diem diem bae
narik uang nya lama,4,positif,narik uang nya
belanja satset dasdes,5,positif,belanja satset dasdes
sangat mmbantu / Cukup Puas,5,positif,mmbantu puas
sukakkk bagus no kecewain kaya dulu,5,positif,sukakkk bagus no kecewain kaya
"tidak bisa beli beli, aplikasi gjls",1,negatif,beli beli aplikasi gjls
mantap,5,positif,mantap
Tokopedia sangat membantu kalau bisa pengiriman nya dicepetin ya,5,positif,tokopedia membantu pengiriman nya dicepetin ya
"apk lemot jaringan pdhal bagus, retur nya juga ribet, buat yang dari apk oren ke apk ini ga di saranin deh, bahkan komplain kita aja kaya harus nunggu sehari aduhhhhh buset dah ini apk, trauma berat",1,negatif,apk lemot jaringan pdhal bagus retur nya ribet apk oren apk ga saranin deh komplain aja kaya nunggu sehari aduhhhhh buset dah apk trauma berat
"ribet, bnyk toko palsu, keseringan refund yg lama bgt",1,negatif,ribet bnyk toko palsu keseringan refund yg bgt
penarikan saldo ke rekening sangat lama,1,negatif,penarikan saldo rekening
murah,5,positif,murah
sering nge bug eror parahhh,2,negatif,nge bug eror parahhh
terbaik,4,positif,terbaik
gimana ya aku pengguna baru mau check out gabisa terus nih,2,negatif,gimana ya pengguna check out gabisa nih
everyone laid off. this is no longer tokopedia.,1,negatif,everyone laid off this is no longer tokopedia
"kenapa saya sulit melakukan tarik dana ke BCA dan selalu gagal(karena adanya pembatalan dari pihak seller) dan aplikasi sudah di update melalui play store tetap tidak bisa. Tolong jgn menyulitkan pelanggan ( sejak dulu saat tarik saldo sangat mudah dan cepat), sejak ganti dengan versi terbaru malah jd rumit. Tks",1,negatif,sulit tarik dana bca gagalkarena pembatalan seller aplikasi update play store tolong jgn menyulitkan pelanggan tarik saldo mudah cepat ganti versi terbaru jd rumit tks
"apasih voucher pengguna baru ga bisa di pake buat pesen promo tidak berlaku apalahh, udah bela²in download terus scroll cari barang eh pas mau di pesen ga bisa jelek bngtt kalo misalnya ga niat ngasih voucher tu gausah, dasar php",1,negatif,apasih voucher pengguna ga pake pesen promo berlaku apalahh udah bela²in download scroll cari barang eh pas pesen ga jelek bngtt kalo ga niat ngasih voucher tu gausah dasar php
cepat prosesnya,5,positif,cepat prosesnya
"tpi tarik saldo ke gopay banyak drama, perbaiki dong",5,positif,tpi tarik saldo gopay drama perbaiki
saldo refund gabisa di tarik tolonh donk ini gimana,4,positif,saldo refund gabisa tarik tolonh donk gimana
oke,2,negatif,oke
jawa POS,5,positif,jawa pos
"dana pengembalian uang saya tidak bisa ditarik selalu ditolak ,udah pake ktp ,pake muka udah kayak mau pinjol jdi nya pdhal saya mau ambil duit dana pengembalian saya saja",1,negatif,dana pengembalian uang ditarik ditolak udah pake ktp pake muka udah kayak pinjol jdi nya pdhal ambil duit dana pengembalian
"merchant paling gajelas , dah ngasih promo selalu PHP ngasih tiktok/gopay paylater pun PHP , dah males make tokped langsung ngajuin hapus akun saat ini juga",1,negatif,merchant gajelas dah ngasih promo php ngasih tiktokgopay paylater php dah males make tokped langsung ngajuin hapus akun
"ini gmn dah aplikasinya ,masa tagihan paylaternya gaada, gw pke paylater dari tokped bukan gopay, munculin oi tagihan paylaternya apk kacau nihhhh",1,negatif,gmn dah aplikasinya tagihan paylaternya gaada gw pke paylater tokped gopay munculin oi tagihan paylaternya apk kacau nihhhh
mudah singkat dan tidak merepotkan.,5,positif,mudah singkat merepotkan
"Langganan PLUS...Makin beli banyak, harga makin naik ??? Ongkir bayar FULL...tdk spt lalu, free ongkir biasa maupun Gojek instant !! Apa guna nya langganan PLUS ???",1,negatif,langganan plusmakin beli harga ongkir bayar fulltdk spt free ongkir gojek instant nya langganan plus
sangat hebat sekali,5,positif,hebat
"terbaik,Aplikasi yg bisa saingi shopee",5,positif,terbaikaplikasi yg saingi shopee
"😍😍 aplikasi bagus banget di luar ekspektasi saya pengiriman SANGAT CEPAT,dan pelacakan tidak stuck setiap dia berpindah posisi pelacakan juga ikut berubah posisi, jadi tau posisi paket berada dimana secara real time, mana harganya SANGAT MURAHH SEKALIIII,😍 pokok nya i love you deh buat aplikasi ini , wajib download sih , aplikasi belanja paling bagus,udah gratis ongkir, banyak diskon, pengiriman cepat lagi, gak espect masa saei Surabaya ke Banjarmasin cuma 11 jam pake kapal cepat bnget",5,positif,aplikasi bagus banget ekspektasi pengiriman cepatdan pelacakan stuck berpindah posisi pelacakan berubah posisi tau posisi paket dimana real time harganya murahh sekaliiii pokok nya i love you deh aplikasi wajib download sih aplikasi belanja bagusudah gratis ongkir diskon pengiriman cepat gak espect saei surabaya banjarmasin jam pake kapal cepat bnget
"Pengembalian dana cepat, pesanan tidak sampai oleh expedisi.",5,positif,pengembalian dana cepat pesanan expedisi
ok,5,positif,ok
TOP MARKOTOP TOKPED PASTI GESIT & IRIT,5,positif,top markotop tokped gesit irit
"layanan sungguh bagus, goodd job👍👍",5,positif,layanan sungguh bagus goodd job
"klo ngga niat kasih diskon mending ngga usah pakek acara bikin vocher bodong, aplikasi ngga amanah, mempersulit hidup aja, buang buang waktu instal aplikasi nya",1,negatif,klo ngga niat kasih diskon mending ngga pakek acara bikin vocher bodong aplikasi ngga amanah mempersulit hidup aja buang buang instal aplikasi nya
sangat bagus dan bermanfaat,5,positif,bagus bermanfaat
tokopedia top deh,5,positif,tokopedia top deh
terbaaaik,5,positif,terbaaaik
"NUNGGU DANA REFUND NYA MASUK DULU KE REKENING, HABIS ITU UNINSTAL ALIAS HAPUS APK NYA! ASLI PARAH, NGESELIN!!!!",1,negatif,nunggu dana refund nya masuk rekening habis uninstal alias hapus apk nya asli parah ngeselin
Mantap sob memudahkan kita untuk berbelanja,5,positif,mantap sob memudahkan berbelanja
tidak rekomendasi . pembelian bukan dari luar negeri 2 minggu tidak sampai ahir nya pembatalan otomatis . dan tidak berahir di situ . pengembalian dana pun ribeut . tidak bisa tarik saldo harus upgrade ke tokped lite. harus verifikasi ulang . dan bukan ulang tapi berulang-ulang menunggu konfirmasi verifikasi sampai beberapa hari . padahal ga seberapa nominal nya . *RIBET* !!!,1,negatif,rekomendasi pembelian negeri minggu ahir nya pembatalan otomatis berahir situ pengembalian dana ribeut tarik saldo upgrade tokped lite verifikasi ulang ulang berulangulang menunggu konfirmasi verifikasi ga nominal nya ribet
mantap,5,positif,mantap
mantap,5,positif,mantap
"Pengembalian dana masuk ke saldo tokped, ga bisa langsung masuk ke rekening. Sedangkan kalau mau tarik saldo ke rekening ada admin 2500. Udah gitu ga langsung masuk ke rekening bisa sampe 5hari. udah rugi uang, rugi waktu pula. parah.",1,negatif,pengembalian dana masuk saldo tokped ga langsung masuk rekening tarik saldo rekening admin udah gitu ga langsung masuk rekening sampe udah rugi uang rugi parah
Makin simple dan rapih tampilan dalam aplikasinya sehingga memudahkan saya untuk bertransaksi,5,positif,simple rapih tampilan aplikasinya memudahkan bertransaksi
"Barang yg saya pesan dibatalkan pelanggan, saya tanya chat ke pelanggan, diarahkan ke pusat bantuan , eeh malah di arahkan lagi saya ke pelanggan . Kayak ronaldo ajaa oper²an bola. Pengembalian dana saya",1,negatif,barang yg pesan dibatalkan pelanggan chat pelanggan diarahkan pusat bantuan eeh arahkan pelanggan kayak ronaldo ajaa oper²an bola pengembalian dana
belibobat mau lihat diskripsi toko tapi langsung ke menuju dokter.kita pernah beli expt 3 bulan.jelek sekali skr,1,negatif,belibobat lihat diskripsi toko langsung dokterkita beli expt bulanjelek skr
mantap PT,5,positif,mantap pt
apk buatan indonesia tetap the best,5,positif,apk buatan indonesia the best
"ribet bgt mau bayar paylatter aja bukak tiktok segala bikin pusing, apalagi pertama pakek gni. aduhhh kacau.....",2,negatif,ribet bgt bayar paylatter aja bukak tiktok bikin pusing pakek gni aduhhh kacau
tak kurangi bintang nya karna lama lama makin kesini tambah parah lemot..,1,negatif,kurangi bintang nya karna kesini parah lemot
gelo apk,5,positif,gelo apk
KEMBALIKAN UANG SAYA !!,1,negatif,kembalikan uang
"pembelian saya gagal, uang saya melalui pembayaran va dikembalikan ke saldo tokopedia. saya gunakan kembali di pembelian yg sama saldo tidak bisa dipakai. saya tarik kembali sistem error terus dan diminta menggunakan tokopedia lite tetap tidak bisa di tarik. sungguh sangat ribettt dan tokopedia care sangat lambat solusi",1,negatif,pembelian gagal uang pembayaran va dikembalikan saldo tokopedia pembelian yg saldo dipakai tarik sistem error tokopedia lite tarik sungguh ribettt tokopedia care lambat solusi
Dikasih promo lagi tapi kali ini dipakai kok ga bisa malah hilang,1,negatif,dikasih promo kali dipakai ga hilang
mantap,5,positif,mantap
"APLIKASI RUSAK GAJELAS, JELAS JELAS GUE BELOM PERNAH DOWNLOAD NI APK GUE DOWNLOAD TERUS DAPET PROMO PENGGUNA BARU, GABISA DIPAKE! GAJELAS EMANG JADINYA GUE BELI PAKE HARGA *NORMAL* DITULISNYA PROMO TIDAK BISA DIGUNAKAN HARAP JANGAN GUNAKAN PROMO UNTUK MELANJUTKAN PEMBAYARAN, KALO BISA GUE KIRIM BUKTINYA GUE KIRIM SEKARANG",1,negatif,aplikasi rusak gajelas gue belom download ni apk gue download dapet promo pengguna gabisa dipake gajelas emang gue beli pake harga normal ditulisnya promo harap promo melanjutkan pembayaran kalo gue kirim buktinya gue kirim
"saldo refund tidak bisa di tarik dana nya, juga menu pembayaran terkunci sehingga tidak bisa digunakan untuk pembayaran. Mohon segera perbaiki aplikasi yg error ini. Terima kasih",2,negatif,saldo refund tarik dana nya menu pembayaran terkunci pembayaran mohon perbaiki aplikasi yg error terima kasih
terbaik,5,positif,terbaik
"untuk sementara, saya ikuti dulu, kalau sampai beneran phk 90%, saya unistall dan tutup akun",4,positif,ikuti beneran phk unistall tutup akun
aplikasi lemot dan ketika melaporkan masalah ngak di atasi,1,negatif,aplikasi lemot melaporkan ngak atasi
pengguna baru gabisa CO menguakan vocer,1,negatif,pengguna gabisa co menguakan vocer
mantap bia beli mainan toy story di sini👍👍👍👍👍,5,positif,mantap bia beli mainan toy story
"ga diupdate ga bisa dibuka, diupdate bug hrs gmana sih",1,negatif,ga diupdate ga dibuka diupdate bug hrs gmana sih
"mohon perbaiki sistem nya ,jangan mancing iklan promo besar2n biar banyak diinstal. tau2nya pas dicoba malah error trus kocak deh banyak banget kendala nya, scam.",1,negatif,mohon perbaiki sistem nya mancing iklan promo besarn biar diinstal taunya pas dicoba error trus kocak deh banget kendala nya scam
tokopedia..kurang bagus..banyak penjual kalau dichat..banyak yang gag respon berhari hari..banyak juga produk produk yang terpampang di tokopedia ternyata banyak produk yang sudah tidak ada barangnya/ pada males update produk yang sudah tidak barangnya..dichat tidak ada respon sampe berhari hari..sampe males dan bosan beli online...,1,negatif,tokopediakurang bagusbanyak penjual dichatbanyak gag respon berhari haribanyak produk produk terpampang tokopedia produk barangnya males update produk barangnyadichat respon sampe berhari harisampe males bosan beli online
"toko kebanyakan gk jelas, udah order dan bayar pakai qris pilih instan tapi tidak juga di kirim oleh pihak toko, udah gtu penarikan saldo ke rekening bank bisa sampek 3 hari, ribet nya minta ampun, jauh kali lah sama toko sebelah",1,negatif,toko kebanyakan gk udah order bayar pakai qris pilih instan kirim toko udah gtu penarikan saldo rekening bank sampek ribet nya ampun kali toko sebelah
"komplainnya bermasalah bgt, disuruh kirim bukti video & foto, tapi hanya tersedia fitur upload foto saja, ga jelas. tolong diperbaiki.",2,negatif,komplainnya bermasalah bgt disuruh kirim bukti video foto tersedia fitur upload foto ga tolong diperbaiki
Saldo di tahan di APK kaga bisa di tarik.. transaksi gagal mulu... cek saldo susah...,1,negatif,saldo tahan apk kaga tarik transaksi gagal mulu cek saldo susah
vocer gbs nempel,1,negatif,vocer gbs nempel
promo nipu,1,negatif,promo nipu
apk aneh gjls,1,negatif,apk aneh gjls
Setan Nih Aplikasi Mengganggu Mulu. Gua Jd Balik Benci. Karena Iklannya Masuk Mulu,1,negatif,setan nih aplikasi mengganggu mulu gua jd benci iklannya masuk mulu
ok bagus oke,4,positif,ok bagus oke
oke,5,positif,oke
mantap saya cinta perusahaan asal indonesia,5,positif,mantap cinta perusahaan indonesia
"order instant tgl 30 Juni 2026, smpe tgl 2 juli belum sampe² jg, sama aja w psen pke kurir reguler, rugi byr pke tarif instant,..",1,negatif,order instant tgl juni smpe tgl juli sampe² jg aja w psen pke kurir reguler rugi byr pke tarif instant
sekarang mau tarik dana perlu verifikasi ktp dan wajah. sudah mengikuti prosedur tapi ditolak terus katanya wajah tidak sesuai dengan identitas,1,negatif,tarik dana verifikasi ktp wajah mengikuti prosedur ditolak wajah sesuai identitas
"gajelas banget ni aplikasi, baru aja dapet voucher seharga 500k uang dengan syarat harus checkout barang yang tersedia di layar, giliran udah di checkout dan dibayar barangnya, eh voucher ga dapet sama sekali, padahal jelas jelas di voucher tertera dengan jelas anda mendapatkan voucer uang senilai 500k dengan syarat harus checkout salah satu barang di layar, dan setelah checkout anda akan mendapatkan uang 500k nya, tapi ternyata bohong dicari gaada tuh voucer atau pemberitahuan soal 500k nya!.",1,negatif,gajelas banget ni aplikasi aja dapet voucher seharga k uang syarat checkout barang tersedia layar giliran udah checkout dibayar barangnya eh voucher ga dapet voucher tertera voucer uang senilai k syarat checkout salah barang layar checkout uang k nya bohong dicari gaada tuh voucer pemberitahuan k nya
keren 👍👍👍👍👍👍👍,5,positif,keren
"mudah digunakan, sayangnya fitur tiktok paylater sering hilang dalam menu, padahal saya masih gunakan dan masih ada limit dan tagihan aktif, ngaco ! berikan update aplikasi yg bener lah",5,positif,mudah sayangnya fitur tiktok paylater hilang menu limit tagihan aktif ngaco update aplikasi yg bener
"ongkir nya pada mahal, pdhl dikirim ke lombok aja ongkirnya bisa smpe 50k lebih, itupun potongan ongkir mentok cmn 20k pdhl pengguna baru, mending toko oren sih😅",1,negatif,ongkir nya mahal pdhl dikirim lombok aja ongkirnya smpe k itupun potongan ongkir mentok cmn k pdhl pengguna mending toko oren sih
"baru x ini aq kecewa sama ToPed udah lama punya aplikasi ini gak tau kenapa mengajukan komplain produk susah tidak bisa uploud foto atau video un boxing, aplikasi udah saya perbarui ke versi terbaru, syarat² komplain udah lengkap hanya gk bisa uploud foto video saja, bener bener kecewa saya",4,positif,x aq kecewa toped udah aplikasi gak tau mengajukan komplain produk susah uploud foto video un boxing aplikasi udah perbarui versi terbaru syarat² komplain udah lengkap gk uploud foto video bener bener kecewa
semenjak gabung sama tiktok jadi aneh nih aplikasi,1,negatif,semenjak gabung tiktok aneh nih aplikasi
Diskonnya hilang waktu dipakai. Mau bangkrut gaya2an ngasih diskon ya gini,1,negatif,diskonnya hilang dipakai bangkrut gayaan ngasih diskon ya gini
respon seller mantap 👍,4,positif,respon seller mantap
aplikasi. sangat berat .... selalu force close...,4,positif,aplikasi berat force close
sangat mudah dan cepat untuk pembayaran.,5,positif,mudah cepat pembayaran
Pelayanan CS lambat banget Kecewa parah Dana refund nyangkut cuma karena sistem baca akun ganda gara gara beda format penulisan nomor hape pake awalan nol dan tanpa awalan nol. Padahal semua bukti kepemilikan yang saya kasih udah valid tapi responnya lelet banget Uangnya kan mau saya pake buat transaksi lain jadi ketahan dan gabisa ditarik sama sekali Mau urus urus juga malah kepentok masalah minta OTP terus yang bikin makin ribet Tolong dong penanganannya dipercepat jangan bikin repot!,1,negatif,pelayanan cs lambat banget kecewa parah dana refund nyangkut sistem baca akun ganda gara gara beda format penulisan nomor hape pake awalan nol awalan nol bukti kepemilikan kasih udah valid responnya lelet banget uangnya pake transaksi ketahan gabisa ditarik urus urus kepentok otp bikin ribet tolong penanganannya dipercepat bikin repot
toko gajelas ada vocher tapi ga bisa di pakai padahal masi berlaku,1,negatif,toko gajelas vocher ga pakai masi berlaku
"Jelek!!! sistem nya ribet banget, kalo mau pake sistem pembayaran COD!!! Enggak kayak aplikasi sebelah.. lebih gampang..",1,negatif,jelek sistem nya ribet banget kalo pake sistem pembayaran cod kayak aplikasi sebelah gampang
sip.bnyak hadiah vocher.later di acc .mksh.kurang menu pinjaman,5,positif,sipbnyak hadiah vocherlater acc mkshkurang menu pinjaman
mengapa tidak bisa lihat transaksi? tombol tidak aktif,3,netral,lihat transaksi tombol aktif
TOPED BANGKRUT,1,negatif,toped bangkrut
"gak jelas ni alamat kode pos ku bisa salah, padahal dah bener semua",1,negatif,gak ni alamat kode pos ku salah dah bener
udah mah maksa download ongkir tiba-tiba gak ada masih banyak lagi yang bermasalah tolonglah buat aplikasi tuh iklannya jangan maksa,4,positif,udah mah maksa download ongkir tibatiba gak bermasalah tolonglah aplikasi tuh iklannya maksa
"banyak vouchernya, bayar tagihan jadi lebih mudah 👍",5,positif,vouchernya bayar tagihan mudah
"tokped pelit ih, haus validasi doang, katanya pengguna baru dapat voucher, kok gabisa dipake wkwkkekwkkwk",1,negatif,tokped pelit ih haus validasi doang pengguna voucher gabisa dipake wkwkkekwkkwk
makin sampah gabung ama tiktok. system lu dah bagus juga,1,negatif,sampah gabung ama tiktok system lu dah bagus
Tingkatkan lagi!,5,positif,tingkatkan
bagus,4,positif,bagus
ok,5,positif,ok
susah banget untuk mengajukan pengembalian barang tidak nyam banget,1,negatif,susah banget mengajukan pengembalian barang nyam banget
"tokped jos, shopee jelek",5,positif,tokped jos shopee jelek
sangat bagus,5,positif,bagus
good,5,positif,good
sip,3,netral,sip
"error mulu setiap kali nyari barang, mau beli sesuatu tapi ga jadi karna barangnya susah tampil, mending di shopee",1,negatif,error mulu kali nyari barang beli ga karna barangnya susah tampil mending shopee
semoga banyak potongan lagi tokped kedepannya seperti online shop lain,5,positif,semoga potongan tokped kedepannya online shop
"belajar dari pengalaman, akhirnya kembali normal, makasih sudah membantu pembayaran tagihan rekening, voucher sangat membantu, plus diskon, mantab, sukses selalu 🙏🏻",5,positif,belajar pengalaman normal makasih membantu pembayaran tagihan rekening voucher membantu plus diskon mantab sukses
banyak kupon tapi tidak bisa di pake. gimik,2,negatif,kupon pake gimik
mau tarik saldo susah,2,negatif,tarik saldo susah
mantap bos ku,5,positif,mantap bos ku
cintai produk indonesia 🥰😅,5,positif,cintai produk indonesia
wkwkwkwk gopaylaternya banget2 dah..dendanya yg banget..gak tanggung baru telat 1hr denda 50%..lain kali gak lagi dah pake gopay later..mending toko sebelah..denda gak nyekek kaya bank keliling aje,1,negatif,wkwkwkwk gopaylaternya banget dahdendanya yg bangetgak tanggung telat hr denda kali gak dah pake gopay latermending toko sebelahdenda gak nyekek kaya bank keliling aje
"penarikan dana refund terlalu lama. padahal lagi butuh uang nya, di suruh nunggu 5hari, paling cepat 2x24jam.",1,negatif,penarikan dana refund butuh uang nya suruh nunggu cepat xjam
aplikasi murahan Saya sudah pesan dan bayar tapi pengiriman gagal,1,negatif,aplikasi murahan pesan bayar pengiriman gagal
gampang buat belanja,5,positif,gampang belanja
Tokopedia paling pelit kasih diskon lebih royal shopee dan lazada banyak kasih diskon apalagi tiap belanja ngasih koin lumayan jadi banyak potongan,2,negatif,tokopedia pelit kasih diskon royal shopee lazada kasih diskon belanja ngasih koin lumayan potongan
toko pedia the best ...,5,positif,toko pedia the best
Sampah,1,negatif,sampah
sebelumnya aku pernah dan sering belanja disini,5,positif,belanja
keren rekomended,5,positif,keren rekomended
tempat belanja online paling tepat,5,positif,belanja online
sya tunggu brangnya ya jangn sampai mengecewakan🤝,3,netral,sya tunggu brangnya ya jangn mengecewakan
good,5,positif,good
jelekkk,1,negatif,jelekkk
lebih gampang bayarnya,5,positif,gampang bayarnya
saya selalu dapat perlakuan buruk dari semua penjual disini,1,negatif,perlakuan buruk penjual
Mantaapppppp,4,positif,mantaapppppp
make voucher gratis ongkir aja kg bisa,1,negatif,make voucher gratis ongkir aja kg
Promo gimick doang gak bisa di pakai,1,negatif,promo gimick doang gak pakai
pengiriman cepat dan barang nya bagus bagus,5,positif,pengiriman cepat barang nya bagus bagus
Tolong singkirkan toko2 SAMPAH yang sudah tidak aktif. Belanja ke toko yang tidak aktif buang2 waktu dan uang. Atau kembalikan status terakhir toko online supaya pembeli bisa lihat mana toko yang masih aktif mana yang toko yang SAMPAH.,1,negatif,tolong singkirkan toko sampah aktif belanja toko aktif buang uang kembalikan status toko online pembeli lihat toko aktif toko sampah
"kalau punya voucher diskon yg besar, pasti muncul barang yg harganya murah... setelah berhasil di pesan eeee cuman di proses, terus batal oleh system yang akhirnya voucher hangus memang trik tidak niat kasih discount besar",3,netral,voucher diskon yg muncul barang yg harganya murah berhasil pesan eeee cuman proses batal system voucher hangus trik niat kasih discount
kayanya sengaja dijelekin nih aplikasi tokpad,1,negatif,kayanya sengaja dijelekin nih aplikasi tokpad
Jadi Aneh Ini Aplikasi !,1,negatif,aneh aplikasi
"ini kenapa tarik saldo tidak bisa, padahal aplikasi sudah terupdate",1,negatif,tarik saldo aplikasi terupdate
transaksi mudah dan aman,5,positif,transaksi mudah aman
mantap,5,positif,mantap
aplikasi sampah. saldo gak bisa ditarik mending uninstall,1,negatif,aplikasi sampah saldo gak ditarik mending uninstall
sukses terus buat TOKOPEDIA,5,positif,sukses tokopedia
good jobs toko pedia,5,positif,good jobs toko pedia
"pindah dr toko oren ke toko ijo ,banyakin diskon nyaaa min tok",5,positif,pindah dr toko oren toko ijo banyakin diskon nyaaa min tok
apk ribet,1,negatif,apk ribet
ini kenapa mau tarik dana dari refund pembatalan pembelian harus upload EKTP dan foto selfie? padahal mau ambil uang sediri bukan mau pinjol.. 😤,1,negatif,tarik dana refund pembatalan pembelian upload ektp foto selfie ambil uang sediri pinjol
"regulasi official store terbilang sangat rendah, dan notifikasi ""pesanan dikirim 3 hari"" terasa aneh, buatlah notifikasi yang normal normal saja atau ku nonaktifkan izin notifikasi nya nanti",1,negatif,regulasi official store terbilang rendah notifikasi pesanan dikirim aneh buatlah notifikasi normal normal ku nonaktifkan izin notifikasi nya
barang di jamin bagus,5,positif,barang jamin bagus
mantap tokopedia,1,negatif,mantap tokopedia
sangat membantu,5,positif,membantu
"Tokopedia aman dan terpercaya, saya mendapatkan semua pilihan yg terbaik disini!",5,positif,tokopedia aman terpercaya pilihan yg terbaik
sangat bagus,5,positif,bagus
pelayanannya istimewa,5,positif,pelayanannya istimewa
"semenjak Tokopedia bergabung dengan tiktok semakin ribet jadi males jualan di Tokopedia, memilih jualan ke toko lain dan hapus akun Tokopedia, pelayanan semakin buruk. meskipun akun dihapus masih terlihat toko di Tokopedia, anehhh",1,negatif,semenjak tokopedia bergabung tiktok ribet males jualan tokopedia memilih jualan toko hapus akun tokopedia pelayanan buruk akun dihapus toko tokopedia anehhh
sangat bagus,5,positif,bagus
ok,5,positif,ok
apaan dah padahal akun baru tapi voucher belanjaan ga bisa di pakai,1,negatif,dah akun voucher belanjaan ga pakai
Terima kasih,5,positif,terima kasih
belanja kok bug ui opening logo tokopedianya wkwkwk,1,negatif,belanja bug ui opening logo tokopedianya wkwkwk
janagan di Download,1,negatif,janagan download
terpercaya,5,positif,terpercaya
belanja jdi muda,5,positif,belanja jdi muda
ok jos jis,5,positif,ok jos jis
bagus,5,positif,bagus
bermanfaat mudah mudahan sukses dan berjalan lancar.....dibanyakin promonya,5,positif,bermanfaat mudah mudahan sukses berjalan lancardibanyakin promonya
"Tokped gajelas aku mau isi saldo flazz 20k gagal malah direfund jadi saldo tokped, trs aku coba mau isi lagi tapi ga ada pilihan pake saldo tokped, trs yang dari saldo tokped mau kutarik dana katanya jumlahnya masih kurang dari minimum? trs gimana aku makenya woy duit 20k ku gajelas, ngomong aja mau ngerampas",1,negatif,tokped gajelas isi saldo flazz k gagal direfund saldo tokped trs coba isi ga pilihan pake saldo tokped trs saldo tokped kutarik dana minimum trs gimana makenya woy duit k ku gajelas ngomong aja ngerampas
recommended,5,positif,recommended
benci banget setiap dapet harga murah pasti ga bisa di co males banget pdhl udah excited banget sialan,1,negatif,benci banget dapet harga murah ga co males banget pdhl udah excited banget sialan
"belanja mudah ,aman ,dan ,amanah toped mantap...👍👍👍",5,positif,belanja mudah aman amanah toped mantap
